time,file,replicate,Nsurv,unit_ai,M_number,Mixture_abcSorted,formulation,spiroxamine,prothioconazole,tebuconazole,trifloxystrobin,bixafen,fluopyram,Psurv
48,4,r_f4_6,0,μg/L,M-019295-01-1,spiroxamine,300000,93300,0,0,0,0,0,0
72,4,r_f4_6,0,μg/L,M-019295-01-1,spiroxamine,300000,93300,0,0,0,0,0,0
96,4,r_f4_6,0,μg/L,M-019295-01-1,spiroxamine,300000,93300,0,0,0,0,0,0
0,4,r_f4_1,10,μg/L,M-019295-01-1,spiroxamine,0,0,0,0,0,0,0,1
4,4,r_f4_1,10,μg/L,M-019295-01-1,spiroxamine,0,0,0,0,0,0,0,1
24,4,r_f4_1,10,μg/L,M-019295-01-1,spiroxamine,0,0,0,0,0,0,0,1
48,4,r_f4_1,10,μg/L,M-019295-01-1,spiroxamine,0,0,0,0,0,0,0,1
72,4,r_f4_1,10,μg/L,M-019295-01-1,spiroxamine,0,0,0,0,0,0,0,1
96,4,r_f4_1,10,μg/L,M-019295-01-1,spiroxamine,0,0,0,0,0,0,0,1
0,4,r_f4_5,10,μg/L,M-019295-01-1,spiroxamine,150000,46700,0,0,0,0,0,1
4,4,r_f4_5,10,μg/L,M-019295-01-1,spiroxamine,150000,46700,0,0,0,0,0,1
24,4,r_f4_5,0,μg/L,M-019295-01-1,spiroxamine,150000,46700,0,0,0,0,0,0
48,4,r_f4_5,0,μg/L,M-019295-01-1,spiroxamine,150000,46700,0,0,0,0,0,0
72,4,r_f4_5,0,μg/L,M-019295-01-1,spiroxamine,150000,46700,0,0,0,0,0,0
96,4,r_f4_5,0,μg/L,M-019295-01-1,spiroxamine,150000,46700,0,0,0,0,0,0
0,5,r_f5_8,10,μg/L,M-027754-02-2,tebuconazole,8000,0,0,7800,0,0,0,1
24,5,r_f5_8,9,μg/L,M-027754-02-2,tebuconazole,8000,0,0,7800,0,0,0,0.9
48,5,r_f5_8,8,μg/L,M-027754-02-2,tebuconazole,8000,0,0,7800,0,0,0,0.8
